Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Ward/Commune,District,Province
34.0,,2.0,4.0,3.0,,2.9,Yên Nghĩa,Hà Đông,Hà Nội
100.0,20.0,12.0,3.0,4.0,5.0,6.5,Trường Thạnh,Quận 9,Hồ Chí Minh
60.0,8.0,15.0,4.0,5.0,5.0,4.5,Tiên Hiệp,Phủ Lý,Hà Nam
85.0,,,4.0,4.0,6.0,4.2,Hắc Dịch,Phú Mỹ,Bà Rịa Vũng Tàu
74.02,5.3,5.0,3.0,,,2.38,3,Tân Bình,Hồ Chí Minh giá 2tỷ380
62.5,5.0,,5.0,,,7.5,Long Hưng,Văn Giang,Hưng Yên
87.0,5.0,33.0,5.0,5.0,5.0,10.0,Thường Tín,Thường Tín,Hà Nội
56.0,5.0,5.0,,,,2.7,Vĩnh Lộc B,Bình Chánh,Hồ Chí Minh
90.0,,,,3.0,,5.5,An Thạnh,Bến Lức,Long An
58.0,,,,,,4.61,14,Quận 8,Hồ Chí Minh
35.0,5.0,2.0,5.0,5.0,4.0,6.85,Trung Hòa,Cầu Giấy,Hà Nội
50.4,,5.0,3.0,4.0,4.0,3.75,16,Gò Vấp,Hồ Chí Minh
54.0,,5.0,3.0,4.0,4.0,4.3,13,Tân Bình,Hồ Chí Minh
57.4,,,3.0,3.0,2.0,4.05,1,Phú Nhuận,Hồ Chí Minh
56.0,3.82,2.5,5.0,6.0,5.0,6.5,Bồ Đề,Long Biên,Hà Nội
151.0,4.0,6.0,2.0,4.0,3.0,3.2,Mỹ Lộc,Cần Giuộc,Long An
51.75,4.5,6.0,4.0,4.0,5.0,9.2,5,Bình Thạnh,Hồ Chí Minh
27.0,4.0,10.0,5.0,4.0,5.0,7.65,Bồ Đề,Long Biên,Hà Nội
115.0,,,,,,9.55,Phú Hữu,Quận 9,Hồ Chí Minh
81.0,,18.5,5.0,,,9.9,Thường Tín,Thường Tín,Hà Nội
102.8,7.0,18.0,2.0,4.0,4.0,5.6,Tân Phước Khánh,Tân Uyên,Bình Dương
55.0,4.5,5.0,,,,6.8,11,Tân Bình,Hồ Chí Minh
56.25,4.5,5.0,3.0,4.0,3.0,4.29,6,Bình Thạnh,Hồ Chí Minh
65.0,,,2.0,3.0,3.0,4.0,Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh
80.0,8.0,8.0,5.0,5.0,6.0,6.5,Bình Trị Đông A,Bình Tân,Hồ Chí Minh
60.0,4.0,,,,,7.0,Nghĩa Trụ,Văn Giang,Hưng Yên
33.0,3.0,2.0,5.0,3.0,4.0,4.48,Yên Sở,Hoàng Mai,Hà Nội
38.0,4.2,6.0,4.0,3.0,4.0,6.78,11,Phú Nhuận,Hồ Chí Minh
42.0,,,3.0,2.0,,6.5,11,Quận 6,Hồ Chí Minh
60.0,,,,,,7.0,Nghĩa Trụ,Văn Giang,Hưng Yên
30.0,3.4,3.0,6.0,4.0,5.0,5.65,Thổ Quan,Đống Đa,Hà Nội
78.0,6.0,13.0,5.0,,,9.8,Nghĩa Trụ,Văn Giang,Hưng Yên
43.5,,2.0,4.0,3.0,4.0,6.2,14,Quận 3,Hồ Chí Minh
23.9,3.5,,2.0,2.0,2.0,4.2,9,Quận 10,Hồ Chí Minh
78.7,4.0,,,,,5.5,Bình Hưng Hòa,Bình Tân,Hồ Chí Minh
67.5,,,,,,2.18,Tân Hiệp,Tân Uyên,Bình Dương
72.0,4.0,5.0,2.0,4.0,4.0,6.7,Tân Sơn Nhì,Tân Phú,Hồ Chí Minh
60.0,,3.0,4.0,4.0,3.0,2.65,Phụng Châu,Chương Mỹ,Hà Nội
200.0,,,2.0,3.0,3.0,10.0,Thạnh Xuân,Quận 12,Hồ Chí Minh
36.0,4.0,3.0,5.0,4.0,4.0,6.0,Đống Mác,Hai Bà Trưng,Hà Nội
100.0,,20.0,3.0,4.0,4.0,8.49,Phú Hữu,Quận 9,Hồ Chí Minh
120.0,6.0,30.0,4.0,,,5.85,Tân An,Buôn Ma Thuột,Đắk Lắk.
78.0,,,3.0,3.0,3.0,5.8,Vĩnh Quỳnh,Thanh Trì,Hà Nội
132.0,4.0,8.0,2.0,3.0,2.0,7.0,Tân Thuận Đông,Quận 7,Hồ Chí Minh
102.0,,3.0,1.0,2.0,1.0,6.8,Phú Thuận,Quận 7,Hồ Chí Minh
101.0,7.1,2.5,3.0,4.0,3.0,6.6,Tân Thuận Đông,Quận 7,Hồ Chí Minh
81.0,8.0,8.0,1.0,1.0,1.0,5.8,11,Gò Vấp,Hồ Chí Minh
35.0,,,5.0,4.0,3.0,3.5,Dương Nội,Hà Đông,Hà Nội
75.0,5.0,24.0,3.0,3.0,3.0,7.7,Phú Hữu,Quận 9,Hồ Chí Minh
62.0,,,4.0,6.0,4.0,6.9,Tân Quý,Tân Phú,Hồ Chí Minh
100.0,15.0,20.0,3.0,,,3.9,6,Tân An,Long An
42.0,3.3,5.0,4.0,5.0,4.0,8.8,Khương Đình,Thanh Xuân,Hà Nội
143.0,5.0,6.0,4.0,4.0,4.0,9.3,9,Gò Vấp,Hồ Chí Minh
180.0,9.0,40.0,3.0,5.0,4.0,9.7,Phù Chẩn,Từ Sơn,Bắc Ninh
75.0,5.0,17.0,5.0,,,8.6,Nghĩa Trụ,Văn Giang,Hưng Yên
78.0,6.0,,5.0,,,9.4,Nghĩa Trụ,Văn Giang,Hưng Yên
33.0,4.5,2.5,5.0,3.0,4.0,4.15,Thạch Bàn,Long Biên,Hà Nội
31.0,,,5.0,,,2.9,Tả Thanh Oai,Thanh Trì,Hà Nội
83.6,,,4.0,4.0,5.0,8.6,Phú Mỹ,Quận 7,Hồ Chí Minh
56.0,4.8,3.0,6.0,4.0,4.0,5.3,Nhật Tân,Tây Hồ,Hà Nội
90.0,5.0,17.5,4.0,4.0,5.0,3.85,Đông Vệ,Thanh Hóa,Thanh Hóa.
55.0,4.0,5.0,5.0,6.0,5.0,8.3,Quang Trung,Hà Đông,Hà Nội
50.0,9.0,,2.0,2.0,2.0,3.9,Bình Trưng Tây,Thủ Đức,Hồ Chí Minh
65.0,,8.0,4.0,4.0,5.0,4.2,Hiệp Thành,Quận 12,Hồ Chí Minh
60.0,,,,,,4.3,Vĩnh Hưng,Hoàng Mai,Hà Nội
100.0,5.0,15.0,3.0,3.0,4.0,3.95,Vĩnh Thái,Nha Trang,Khánh Hòa
33.0,,,,1.0,1.0,1.4,Kiến Hưng,Hà Đông,Hà Nội
60.0,,2.0,3.0,3.0,3.0,4.7,Vĩnh Quỳnh,Thanh Trì,Hà Nội
70.0,,,5.0,5.0,4.0,6.9,Thạch Bàn,Long Biên,Hà Nội
40.0,,5.0,4.0,5.0,4.0,9.1,11,Quận 10,Hồ Chí Minh
40.0,,,5.0,6.0,3.0,6.25,Long Biên,Long Biên,Hà Nội
66.0,4.0,12.0,4.0,5.0,3.0,8.95,10,Quận 6,Hồ Chí Minh
35.0,,,4.0,4.0,3.0,6.25,Nghĩa Đô,Cầu Giấy,Hà Nội
74.0,,,2.0,4.0,3.0,6.83,Tân Sơn Nhì,Tân Phú,Hồ Chí Minh
45.0,,,2.0,2.0,2.0,4.4,Tân Hưng,Quận 7,Hồ Chí Minh
70.0,,,,,,6.8,Thạch Bàn,Long Biên,Hà Nội
45.0,,24.0,,,,7.0,Long Thạnh Mỹ,Quận 9,Hồ Chí Minh
85.0,,18.0,2.0,4.0,4.0,5.9,Tân Phước Khánh,Tân Uyên,Bình Dương
48.0,,2.5,4.0,5.0,,6.4,Thạch Bàn,Long Biên,Hà Nội
56.1,4.2,,4.0,4.0,3.0,6.3,Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh
40.0,,,5.0,,,7.48,Tương Mai,Hoàng Mai,Hà Nội
36.5,3.6,4.0,6.0,3.0,4.0,4.1,Đông La,Hoài Đức,Hà Nội
36.0,,,4.0,,,7.49,Thạch Bàn,Long Biên,Hà Nội
64.0,4.0,6.0,5.0,4.0,5.0,6.7,Bình Trị Đông,Bình Tân,Hồ Chí Minh
12.0,3.0,3.0,5.0,3.0,4.0,1.8,Phương Liên,Đống Đa,Hà Nội
90.0,,,,3.0,2.0,3.2,An Thạnh,Bến Lức,Long An
53.0,4.3,22.0,5.0,6.0,5.0,6.39,Tây Mỗ,Nam Từ Liêm,Hà Nội.
96.0,5.5,,2.0,5.0,5.0,8.5,Bình Trị Đông,Bình Tân,Hồ Chí Minh
31.0,6.2,6.0,3.0,4.0,3.0,6.8,14,Quận 10,Hồ Chí Minh
56.0,3.85,2.8,4.0,4.0,5.0,8.5,Thanh Xuân Trung,Thanh Xuân,Hà Nội
116.8,,,,3.0,2.0,7.3,Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội
56.0,5.0,13.0,5.0,,,7.6,Nghĩa Trụ,Văn Giang,Hưng Yên.
64.0,4.0,6.0,5.0,6.0,6.0,5.98,Bình Trị Đông A,Bình Tân,Hồ Chí Minh
65.0,5.5,7.0,3.0,3.0,3.0,4.7, Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng
50.0,,,4.0,4.0,4.0,7.0,Tân Thành,Tân Phú,Hồ Chí Minh
100.0,5.0,,,,,2.15,Đồng Tiến,Phổ Yên,Thái Nguyên.
70.0,6.6,,,,,9.6,Dịch Vọng Hậu,Cầu Giấy,Hà Nội
55.0,5.0,3.0,5.0,4.0,5.0,6.8,Kim Giang,Thanh Xuân,Hà Nội
37.0,4.0,,6.0,3.0,3.0,5.6,Thạch Bàn,Long Biên,Hà Nội
45.0,3.5,2.0,4.0,4.0,3.0,4.95,Thạch Bàn,Long Biên,Hà Nội
30.0,6.0,2.0,6.0,3.0,4.0,4.6,Thạch Bàn,Long Biên,Hà Nội
67.5,,,4.0,4.0,4.0,4.5,Đồng Hòa,Kiến An,Hải Phòng
180.0,9.0,15.0,3.0,,,10.0,Phù Chẩn,Từ Sơn,Bắc Ninh
45.0,,,5.0,3.0,4.0,5.7,Bồ Đề,Quận Long Biên,Hà Nội
180.0,9.0,,3.0,5.0,6.0,9.7,Phù Chẩn,Từ Sơn,Bắc Ninh
46.5,5.0,,3.0,3.0,,2.8,Mai Lâm,Đông Anh,Hà Nội
68.0,4.0,5.0,1.0,3.0,3.0,2.8,Trung Mỹ Tây,Quận 12,Hồ Chí Minh
40.0,,,2.0,2.0,2.0,1.38,Nhơn Đức,Nhà Bè,Hồ Chí Minh
120.0,,,5.0,,,8.0,Long Hưng,Văn Giang,Hưng Yên
98.0,7.0,27.0,,,,6.9,Minh Nông,Việt Trì,Phú Thọ.
80.0,,12.0,3.0,4.0,4.0,1.5,Mỹ Yên,Bến Lức,Long An
32.0,,,5.0,3.0,4.0,5.7,Đồng Tâm,Hai Bà Trưng,Hà Nội
75.0,8.0,3.0,1.0,3.0,1.0,2.35,Tân Hiệp,Hóc Môn,Hồ Chí Minh
90.0,6.0,30.0,3.0,3.0,4.0,5.8,Phú Hữu,Quận 9,Hồ Chí Minh
86.0,4.0,3.0,2.0,8.0,2.0,7.6,9,Quận 8,Hồ Chí Minh
120.0,5.0,,5.0,,,10.0,Long Hưng,Văn Giang,Hưng Yên
41.8,,,3.0,3.0,,2.85,Thanh Khê Tây,Thanh Khê,Đà Nẵng
48.6,,,,2.0,2.0,2.95,Tân Chính,Thanh Khê,Đà Nẵng
56.0,,7.0,3.0,3.0,3.0,4.65,Hòa Cường Bắc,Hải Châu,Đà Nẵng
32.0,,15.0,3.0,3.0,4.0,3.6,An Khê,Thanh Khê,Đà Nẵng
272.0,,,,4.0,5.0,4.5,Bình Minh,Trảng Bom,Đồng Nai
42.0,5.6,3.0,5.0,3.0,4.0,8.5,Hàng Bột,Đống Đa,Hà Nội
114.0,6.0,36.0,5.0,,,8.5,Cẩm Trung,Cẩm Phả,Quảng Ninh
53.0,,5.0,2.0,4.0,3.0,4.35,12,Gò Vấp,Hồ Chí Minh
33.0,3.3,3.5,4.0,4.0,4.0,5.4,Đại Mỗ,Nam Từ Liêm,Hà Nội.
68.0,4.0,13.0,,,,8.5,Nghĩa Trụ,Văn Giang,Hưng Yên
40.0,4.25,3.0,5.0,4.0,4.0,6.3,Cổ Nhuế 1,Bắc Từ Liêm,Hà Nội
72.0,,10.0,3.0,4.0,4.0,8.35,Bình Hưng,Bình Chánh,Hồ Chí Minh
40.0,,6.0,1.0,2.0,2.0,2.35,Tân Tạo,Bình Tân,Hồ Chí Minh
20.0,,,3.0,2.0,2.0,2.8,8,Tân Bình,Hồ Chí Minh
91.0,5.0,,,,,3.5,Khương Đình,Thanh Xuân,Hà Nội
45.0,4.0,5.0,5.0,,,4.5,Ngọc Hồi,Thanh Trì,Hà Nội
52.0,4.5,8.0,4.0,4.0,3.0,7.2,Linh Trung,Thủ Đức,Hồ Chí Minh
34.0,,,4.0,3.0,4.0,2.95,Yên Nghĩa,Hà Đông,Hà Nội
112.5,5.0,7.5,3.0,5.0,3.0,4.9,Hòa Phát,Cẩm Lệ,Đà Nẵng
225.0,12.0,,2.0,4.0,3.0,9.0,An Thạnh,Bến Lức,Long An
34.0,4.25,3.0,3.0,3.0,3.0,2.1,Phụng Châu,Chương Mỹ,Hà Nội
98.4,,12.0,1.0,3.0,2.0,1.19,Bình Chánh,Bình Chánh,Hồ Chí Minh
20.0,3.6,15.0,4.0,3.0,,3.6,Văn Chương,Đống Đa,Hà Nội
26.4,4.0,,3.0,2.0,1.0,3.85,Phạm Ngũ Lão,Quận 1,Hồ Chí Minh
75.0,5.0,7.5,4.0,,,4.35,Quảng Thắng,Thanh Hóa,Thanh Hóa
60.0,5.0,9.0,3.0,4.0,5.0,5.6,Hiệp Thành,Quận 12,Hồ Chí Minh
51.0,4.2,12.0,2.0,3.0,4.0,6.0,Linh Trung,Thủ Đức,Hồ Chí Minh
35.0,,,3.0,,,5.65,Văn Quán,Hà Đông,Hà Nội
34.0,8.1,,5.0,4.0,4.0,8.0,Kiến Hưng,Hà Đông,Hà Nội
40.0,3.7,4.0,6.0,4.0,4.0,3.25,Đông La,Hoài Đức,Hà Nội
55.0,,,6.0,8.0,6.0,7.6,Thịnh Quang,Đống Đa,Hà Nội
120.0,,,2.0,4.0,2.0,7.9,An Bình,Dĩ An,Bình Dương
56.0,,13.0,5.0,,,7.6,Long Hưng,Văn Giang,Hưng Yên
60.0,6.0,5.0,3.0,3.0,2.0,2.95,Bình Chuẩn,Thuận An,Bình Dương
60.0,4.5,6.0,4.0,4.0,4.0,6.5,Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh
40.0,,,4.0,4.0,4.0,2.5,Đông La,Huyện Hoài Đức,Hà Nội
100.0,,20.0,3.0,4.0,3.0,5.5,An Phú,Thuận An,Bình Dương
30.0,3.4,4.0,5.0,3.0,4.0,4.1,Vân Canh,Hoài Đức,Hà Nội
11.0,3.0,,3.0,2.0,2.0,1.85,10,Quận 4,Hồ Chí Minh
110.0,4.4,7.0,2.0,2.0,2.0,5.0,Tân Chánh Hiệp,Quận 12,Hồ Chí Minh
135.0,,,3.0,,,7.55,Phù Chẩn,Từ Sơn,Bắc Ninh
54.0,,5.0,4.0,4.0,4.0,5.7,8,Gò Vấp,Hồ Chí Minh
40.0,,,4.0,4.0,4.0,1.95,Phụng Châu,Huyện Chương Mỹ,Hà Nội
58.3,,12.0,3.0,4.0,5.0,5.5,Bình Hưng Hòa B,Bình Tân,Hồ Chí Minh
53.0,3.6,5.0,4.0,3.0,4.0,6.5,12,Tân Bình,Hồ Chí Minh
27.0,4.6,,6.0,,,7.5,Thổ Quan,Đống Đa,Hà Nội
30.0,,8.0,2.0,2.0,2.0,3.75,9,Gò Vấp,Hồ Chí Minh
101.0,9.0,,1.0,,,4.8,7,Quận 8,Hồ Chí Minh
20.0,,,2.0,2.0,2.0,3.45,24,Bình Thạnh,Hồ Chí Minh
72.0,,,5.0,4.0,4.0,9.5,9,Gò Vấp,Hồ Chí Minh
100.0,5.0,,,,,3.3,Hồng Tiến,Phổ Yên,Thái Nguyên.
160.0,8.0,13.0,2.0,4.0,4.0,4.55,Tiến Thành,Phan Thiết,Bình Thuận
62.0,,22.0,2.0,3.0,3.0,2.8,Bình Chuẩn,Thuận An,Bình Dương
65.0,6.0,4.0,1.0,2.0,1.0,1.65,Long Điền,Long Điền,Bà Rịa Vũng Tàu
48.0,,4.0,4.0,3.0,4.0,6.2,9,Gò Vấp,Hồ Chí Minh
30.6,3.0,,,,,6.5,Vạn Phúc,Hà Đông,Hà Nội
45.0,4.3,5.0,3.0,3.0,3.0,2.65,Đại Thành,Quốc Oai,Hà Nội
40.0,,4.0,4.0,4.0,3.0,5.6,16,Gò Vấp,Hồ Chí Minh
24.3,2.38,,,,,7.2,Quang Trung,Hà Đông,Hà Nội
65.0,,,3.0,4.0,4.0,10.0,13,Quận 3,Hồ Chí Minh
84.0,4.3,8.0,2.0,3.0,2.0,2.45,Bửu Long,Biên Hòa,Đồng Nai.
135.0,9.0,12.0,3.0,,,7.55,Phù Chẩn,Từ Sơn,Bắc Ninh
31.0,3.6,3.0,5.0,4.0,3.0,4.55,Thạch Bàn,Long Biên,Hà Nội
38.1,8.0,,,,,5.5,Mai Dịch,Cầu Giấy,Hà Nội
60.0,6.0,3.5,4.0,4.0,4.0,8.0,13,Quận 10,Hồ Chí Minh
35.0,,,5.0,,,2.85,Tả Thanh Oai,Thanh Trì,Hà Nội
177.0,6.1,,2.0,3.0,4.0,5.46,Tân Hiệp,Hóc Môn,Hồ Chí Minh
100.0,6.0,,2.0,2.0,1.0,2.7,Vĩnh Thanh,Nhơn Trạch,Đồng Nai
45.0,,,5.0,4.0,,4.45,Phúc Đồng,Long Biên,Hà Nội
84.0,7.0,10.0,3.0,8.0,6.0,6.5,16,Quận 8,Hồ Chí Minh
80.0,,6.0,3.0,5.0,5.0,6.9,An Phú,Quận 2,Hồ Chí Minh
52.0,,,,1.0,1.0,7.0,Long Thạnh Mỹ,Quận 9,Hồ Chí Minh
70.0,,,4.0,5.0,,7.5,Phước Bình,Quận 9,Hồ Chí Minh
58.0,,,3.0,3.0,3.0,6.39,Phú Thạnh,Tân Phú,Hồ Chí Minh
67.0,,3.0,3.0,3.0,3.0,4.5,Kim Nỗ,Đông Anh,Hà Nội
60.0,,,4.0,4.0,,4.5,Thạch Bàn,Long Biên,Hà Nội
64.0,,,,,,8.3,Nghĩa Trụ,Văn Giang,Hưng Yên
90.0,,,,,,3.3,An Thạnh,Bến Lức,Long An
52.0,,,3.0,4.0,,5.3,Hiệp Bình Chánh,Thủ Đức,Hồ Chí Minh
38.0,,3.0,4.0,5.0,4.0,4.35,Phú Lương,Hà Đông,Hà Nội
41.0,,,4.0,5.0,3.0,3.6,Yên Nghĩa,Hà Đông,Hà Nội
124.0,,,,4.0,2.0,6.3,Hòa Cường Bắc,Hải Châu,Đà Nẵng
92.5,6.0,6.0,3.0,3.0,4.0,6.95,Hòa Minh,Liên Chiểu,Đà Nẵng
94.0,5.7,4.0,,,,4.8,Bình Trị Đông B,Bình Tân,Hồ Chí Minh
45.5,3.7,,3.0,3.0,3.0,3.25,5,Quận 3,Hồ Chí Minh
35.0,4.0,5.0,4.0,4.0,3.0,6.5,Tam Hiệp,Thanh Trì,Hà Nội
35.0,,,4.0,3.0,3.0,2.5,Biên Giang,Hà Đông,Hà Nội
85.0,6.08,4.0,2.0,3.0,2.0,2.55,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng
60.0,4.0,13.0,5.0,5.0,5.0,8.6,Nghĩa Trụ,Văn Giang,Hưng Yên
71.0,,4.0,2.0,2.0,2.0,4.9,Tăng Nhơn Phú A,Thủ Đức,Hồ Chí Minh
43.0,3.6,4.0,4.0,2.0,3.0,8.65,Quan Hoa,Cầu Giấy,Hà Nội
39.0,4.6,,4.0,3.0,,10.0,Mỗ Lao,Hà Đông,Hà Nội
64.0,5.0,10.0,4.0,4.0,5.0,8.0,14,Gò Vấp,Hồ Chí Minh
100.0,,6.0,,,,1.7,Bình An,Thủ Thừa,Long An
88.6,,,3.0,3.0,4.0,9.5,11,Gò Vấp,Hồ Chí Minh
24.0,4.0,3.0,4.0,2.0,3.0,4.28,Thịnh Quang,Đống Đa,Hà Nội
40.0,4.0,,,,,7.0,Dịch Vọng,Cầu Giấy,Hà Nội
52.0,5.0,,4.0,3.0,,4.2,Mai Lâm,Đông Anh,Hà Nội
